328,300.0,199
329,-255.5,163
330,-248.0,168
331,-294.5,137
332,-228.5,181
333,300.0,199
334,-204.5,197
335,300.0,199
336,300.0,199
337,300.0,199
338,-222.5,185
339,-246.5,169
340,300.0,199
341,300.0,199
342,-243.5,171
343,-224.0,184
344,300.0,199
345,300.0,199
346,300.0,199
347,300.0,199
348,-240.5,173
349,300.0,199
350,-227.0,182
351,-267.5,155
352,-263.0,158
353,-237.5,175
354,-212.0,192
355,300.0,199
356,300.0,199
357,300.0,199
358,-231.5,179
359,300.0,199
360,-240.5,173
361,-252.5,165
362,-260.0,160
363,-242.0,172
364,-206.0,196
365,-389.0,74
366,300.0,199
367,-231.5,179
368,-269.0,154
369,-261.5,159
370,-243.5,171
371,-279.5,147
372,-260.0,160
373,-269.0,154
374,-263.0,158
375,-242.0,172
376,-254.0,164
377,-264.5,157
378,-228.5,181
379,-273.5,151
380,-270.5,153
381,-237.5,175
382,-243.5,171
383,-212.0,192
384,-236.0,176
385,-263.0,158
386,300.0,199
387,300.0,199
388,300.0,199
389,-261.5,159
390,-251.0,166
391,-231.5,179
392,-254.0,164
393,-210.5,193
394,-216.5,189
395,-267.5,155
396,-242.0,172
397,-228.5,181
398,300.0,199
399,300.0,199
400,300.0,199
401,-234.5,177
402,300.0,199
403,300.0,199
404,300.0,199
405,-204.5,197
406,300.0,199
407,300.0,199
408,300.0,199
409,300.0,199
410,300.0,199
411,300.0,199
412,300.0,199
413,300.0,199
414,300.0,199
415,300.0,199
416,300.0,199
417,300.0,199
418,300.0,199
419,300.0,199
420,300.0,199
421,300.0,199
422,300.0,199
423,-210.5,193
424,-221.0,186
425,300.0,199
426,300.0,199
427,300.0,199
428,300.0,199
429,300.0,199
430,300.0,199
431,300.0,199
432,300.0,199
433,300.0,199
434,300.0,199
435,300.0,199
436,300.0,199
437,300.0,199
438,300.0,199
439,300.0,199
440,300.0,199
441,300.0,199
442,300.0,199
443,300.0,199
444,300.0,199
445,300.0,199
446,300.0,199
447,300.0,199
448,300.0,199
449,300.0,199
450,300.0,199
451,300.0,199
452,300.0,199
453,300.0,199
454,300.0,199
455,300.0,199
456,300.0,199
457,300.0,199
458,300.0,199
459,300.0,199
460,300.0,199
461,300.0,199
462,300.0,199
463,300.0,199
464,300.0,199
465,300.0,199
466,300.0,199
467,300.0,199
468,300.0,199
469,300.0,199
470,300.0,199
471,300.0,199
472,300.0,199
473,300.0,199
474,300.0,199
475,300.0,199
476,300.0,199
477,300.0,199
478,300.0,199
479,-209.0,194
480,300.0,199
481,300.0,199
482,300.0,199
483,-212.0,192
484,300.0,199
485,300.0,199
486,-213.5,191
487,300.0,199
488,300.0,199
489,300.0,199
490,300.0,199
491,300.0,199
492,300.0,199
493,300.0,199
494,300.0,199
495,300.0,199
496,300.0,199
497,300.0,199
498,300.0,199
499,300.0,199
