0,24,13
1,12,8
2,33,20
3,18,9
4,39,26
5,22,12
6,37,25
7,29,16
8,24,15
9,26,17
10,41,29
11,32,19
12,17,12
13,38,23
14,23,12
15,33,21
16,36,22
17,31,17
18,17,8
19,31,18
20,31,20
21,41,24
22,25,14
23,19,10
24,22,12
25,56,35
26,54,35
27,20,11
28,44,26
29,32,19
30,24,14
31,39,23
32,16,11
33,24,12
34,16,8
35,19,10
36,34,22
37,17,9
38,17,8
39,49,30
40,31,18
41,22,12
42,17,9
43,18,8
44,19,9
45,22,11
46,34,21
47,23,12
48,19,9
49,23,12
50,19,10
51,18,9
52,25,15
53,23,15
54,35,19
55,54,33
56,53,32
57,19,13
58,19,9
59,24,12
60,22,12
61,19,9
62,36,21
63,25,13
64,36,20
65,40,23
66,21,10
67,48,31
68,18,8
69,19,10
70,25,13
71,76,49
72,24,14
73,23,13
74,26,16
75,19,11
76,34,21
77,25,15
78,28,17
79,22,13
80,25,15
81,33,20
82,26,15
83,37,23
84,31,19
85,16,9
86,47,30
87,31,19
88,59,38
89,38,25
90,52,34
91,39,25
92,41,27
93,53,35
94,101,67
95,89,59
96,59,39
97,73,49
98,79,53
99,99,66
100,79,53
101,105,70
102,130,84
103,117,78
104,144,96
105,89,60
106,92,58
107,119,80
108,119,80
109,142,92
110,134,87
111,225,151
112,235,157
113,153,103
114,205,134
115,196,127
116,301,199
117,163,105
118,300,199
119,207,134
120,199,130
121,250,163
122,300,199
123,206,134
124,302,199
125,301,199
126,223,145
127,205,138
128,266,174
129,245,160
130,252,165
131,275,180
132,300,199
133,270,177
134,300,199
135,301,199
136,278,186
137,255,171
138,297,199
139,198,133
140,297,199
141,189,127
142,168,113
143,230,154
144,197,132
145,279,187
146,226,152
147,218,146
148,222,149
149,207,139
150,191,128
151,191,128
152,228,153
153,174,117
154,233,156
155,162,109
156,262,175
157,212,142
158,159,107
159,158,106
160,160,108
161,281,188
162,226,152
163,195,131
164,216,145
165,254,170
166,159,107
167,251,168
168,213,143
169,212,142
170,223,150
171,171,115
172,172,116
173,283,190
174,172,116
175,193,130
176,186,125
177,172,116
178,143,96
179,169,114
180,145,98
181,178,120
182,168,113
183,240,161
184,165,111
185,180,121
186,168,113
187,155,104
188,198,133
189,201,135
190,182,122
191,250,167
192,302,199
193,197,132
194,198,133
195,233,156
196,220,148
197,223,150
198,219,147
199,255,171
200,303,199
201,166,111
202,139,94
203,211,142
204,300,199
205,186,125
206,304,199
207,170,114
208,185,124
209,149,100
210,175,118
211,244,164
212,195,131
213,134,90
214,157,106
215,156,105
216,156,105
217,303,199
218,177,119
219,172,116
220,304,199
221,160,108
222,136,92
223,299,199
224,149,100
225,226,152
226,162,109
227,266,173
228,190,128
229,205,137
230,300,199
231,218,146
232,279,187
233,304,199
234,225,151
235,250,162
236,303,199
237,195,131
238,182,122
239,304,199
240,219,147
241,303,199
242,289,188
243,238,154
244,168,113
245,291,189
246,161,108
247,174,116
248,296,199
249,182,122
250,212,142
251,197,133
252,192,129
253,165,111
254,191,128
255,304,199
256,205,137
257,185,124
258,293,191
259,215,144
260,303,199
261,240,161
262,303,199
263,203,137
264,278,186
265,240,161
266,236,158
267,203,137
268,225,151
269,224,151
270,258,173
271,203,136
272,236,159
273,259,168
274,233,157
275,259,174
276,212,143
277,212,143
278,287,193
279,197,133
280,224,151
281,272,177
282,249,167
283,257,167
284,299,195
285,259,173
286,303,199
287,305,199
288,251,169
289,230,154
290,259,168
291,304,199
292,236,159
293,261,175
294,240,161
295,217,145
296,193,130
297,235,158
298,303,199
299,255,165
300,302,199
301,303,199
302,216,145
303,275,184
304,291,195
305,196,131
306,223,149
307,245,164
308,215,144
309,305,199
310,200,133
311,298,199
312,234,157
313,188,126
314,165,110
315,304,199
316,303,199
317,270,180
318,220,147
319,300,199
320,204,137
321,235,157
322,223,149
323,228,153
324,275,184
325,263,176
326,303,198
327,275,179
328,207,138
329,224,150
330,202,135
331,242,163
332,256,172
333,300,199
334,304,199
335,264,172
336,266,178
337,297,199
338,216,145
339,250,167
340,303,199
341,279,188
342,285,192
343,258,174
344,208,139
345,299,199
346,303,199
347,276,186
348,305,199
349,275,179
350,302,199
351,304,199
352,303,199
353,303,199
354,298,199
355,243,161
356,258,174
357,209,141
358,211,142
359,294,192
360,248,167
361,256,172
362,270,175
363,302,199
364,302,199
365,257,173
366,303,199
367,296,199
368,297,199
369,300,199
370,301,199
371,304,199
372,298,199
373,273,184
374,300,199
375,294,192
376,303,199
377,300,199
378,57,37
379,302,199
380,304,199
381,276,186
382,288,194
383,290,189
384,303,199
385,273,184
386,267,180
387,300,199
388,305,199
389,301,199
390,298,194
391,304,198
392,301,199
393,302,199
394,303,199
395,300,199
396,302,199
397,276,186
398,301,199
399,299,199
400,302,199
401,304,199
402,300,199
403,299,199
404,283,184
405,300,199
406,246,166
407,303,199
408,299,199
409,298,199
410,304,199
411,305,199
412,300,199
413,298,199
414,303,199
415,305,199
416,301,199
417,299,199
418,300,199
419,300,199
420,284,185
421,299,199
422,300,199
423,300,199
424,285,192
425,300,199
426,299,199
427,300,199
428,300,199
429,300,199
430,300,199
431,299,199
432,300,199
433,299,199
434,301,199
435,301,199
436,299,199
437,253,171
438,297,199
439,298,199
440,300,199
441,300,199
442,300,199
443,299,199
444,299,199
445,300,199
446,300,199
447,300,199
448,301,199
449,300,199
450,300,199
451,300,199
452,300,199
453,300,199
454,300,199
455,300,199
456,299,199
457,300,199
458,300,199
459,300,199
460,300,199
461,300,199
462,300,199
463,299,199
464,299,199
465,299,199
466,300,199
467,300,199
468,300,199
469,297,199
470,250,169
471,300,199
472,300,199
473,300,199
474,301,199
475,300,199
476,300,199
477,300,199
478,300,199
479,296,199
480,300,199
481,269,182
482,301,199
483,300,199
484,299,199
485,300,199
486,299,199
487,300,199
488,299,199
489,300,199
490,295,199
491,292,197
492,300,199
493,300,199
494,300,199
495,300,199
496,300,199
497,300,199
498,300,199
499,301,199
